BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,398.200234
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,309.29658200000006
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,316.086794
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,363.810382
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,325.68918599999995
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,348.048458
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,353.184654
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a lot,400.32483600000006
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,398.862952
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Disagree a little,379.189246
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a little,449.417476
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,365.173134
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a little,281.625324
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,416.696506
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a lot,Every or almost every lesson,Agree a little,Agree a little,343.948824
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a little,438.0982639999999
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Disagree a little,Disagree a little,About half the lessons,Agree a little,Agree a lot,410.106272
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,A few times a year,Agree a little,Disagree a lot,Some lessons,Disagree a little,Agree a lot,456.897256
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Disagree a lot,Disagree a lot,About half the lessons,Agree a little,Agree a little,371.151074
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Disagree a little,Disagree a little,Every or almost every lesson,Agree a little,Agree a little,385.290342
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,514.595236
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a little,About half the lessons,Agree a little,Disagree a little,411.747562
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Disagree a lot,Agree a little,Every or almost every lesson,Disagree a lot,Agree a little,372.15433
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,Once or twice a month,Disagree a little,Agree a little,Never,Agree a little,Agree a little,295.68471
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,278.056902
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,407.092848
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Disagree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,415.624588
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Disagree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a lot,378.301182
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a little,Every or almost every lesson,Disagree a little,Disagree a little,394.83399
No,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a little,Disagree a little,About half the lessons,Disagree a little,Agree a little,387.6194
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Disagree a lot,Disagree a lot,Some lessons,Disagree a little,Agree a lot,354.25098
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Disagree a little,About half the lessons,Agree a lot,Agree a lot,422.80382
Yes,None or very few (0–10 books),Agree a little,Disagree a little,A few times a year,Disagree a little,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,370.578862
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a little,Some lessons,Disagree a lot,Disagree a little,371.641004
Yes,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,425.36092800000006
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a little,Never,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,352.443858
Yes,None or very few (0–10 books),Disagree a little,Agree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a lot,Agree a little,305.82826000000006
Yes,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Disagree a little,Disagree a little,About half the lessons,Disagree a lot,Agree a little,391.08381
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a little,About half the lessons,Disagree a little,Disagree a little,421.29573199999993
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,480.96256000000005
No,None or very few (0–10 books),Disagree a lot,Disagree a little,A few times a year,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,339.07112
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,Once or twice a month,Agree a lot,Disagree a little,About half the lessons,Agree a lot,Agree a lot,375.238374
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,470.657394
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a lot,A few times a year,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,382.268522
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,424.7279
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,371.835792
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,481.509408
Yes,None or very few (0–10 books),Disagree a little,Disagree a little,A few times a year,Disagree a lot,Agree a little,Every or almost every lesson,Disagree a lot,Agree a little,364.119504
No,Enough to fill one shelf (11–25 books),Agree a little,Disagree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,348.07037
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a little,420.326026
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a little,386.733304
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a little,331.285304
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,330.340066
No,None or very few (0–10 books),Agree a little,Disagree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,472.55141
No,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Disagree a little,Agree a little,Some lessons,Disagree a little,Agree a little,334.01622000000003
No,None or very few (0–10 books),Agree a little,Disagree a little,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,349.366412
Yes,None or very few (0–10 books),Disagree a little,Agree a lot,Never,Agree a lot,Agree a little,About half the lessons,Disagree a lot,Agree a lot,410.724488
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a little,385.112032
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,388.766586
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,359.56063
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a little,431.74662400000005
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Disagree a little,Disagree a little,Some lessons,Disagree a little,Disagree a little,415.3597840000001
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,362.290636
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,412.179248
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,454.836426
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,395.718796
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a little,378.798096
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,454.75387
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Disagree a little,336.853348
Yes,None or very few (0–10 books),Agree a little,Disagree a lot,Once or twice a month,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a little,343.33396200000004
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,370.172628
Yes,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,364.354786
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,415.709116
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,422.762368
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Disagree a little,Agree a lot,About half the lessons,Agree a little,Agree a little,350.79986799999995
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,362.02922
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,Never,Disagree a little,Agree a lot,About half the lessons,Agree a lot,Disagree a little,418.797426
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,337.0455
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,415.03341
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,415.214848
Yes,None or very few (0–10 books),Disagree a little,Agree a lot,A few times a year,Disagree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,373.409656
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,384.160286
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Disagree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,366.158834
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,413.985128
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,At least once a week,Agree a little,Disagree a little,Every or almost every lesson,Disagree a little,Agree a lot,448.647332
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,346.508028
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,348.150078
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,516.111258
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a little,331.639404
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a little,Some lessons,Disagree a little,Agree a little,325.191948
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a little,Never,Disagree a little,Agree a little,Some lessons,Disagree a little,Agree a little,382.746088
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a lot,Agree a lot,368.171484
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a lot,401.37087600000007
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a little,Never,Disagree a lot,Agree a lot,397.121284
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,398.46965
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a little,Some lessons,Disagree a lot,Agree a little,305.651664
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a little,326.00551200000007
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a little,Never,Agree a little,Agree a lot,387.308192
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,363.503236
Yes,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Disagree a little,Agree a little,Some lessons,Disagree a little,Disagree a little,379.327902
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,423.84091
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,383.429272
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,496.998794
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a lot,At least once a week,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,435.134206
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,418.42833200000007
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a little,A few times a year,Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,481.103652
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Disagree a little,406.509004
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Disagree a lot,About half the lessons,Agree a lot,Agree a little,417.344436
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Never,Disagree a little,Agree a little,436.3553580000001
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a little,Never,Agree a little,Agree a little,337.360744
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,416.461806
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,554.66169
Yes,Enough to fill two bookcases (101–200 books),Disagree a little,Disagree a lot,A few times a year,Disagree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,474.70169
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Disagree a little,Agree a little,About half the lessons,Agree a little,Agree a little,373.028308
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Some lessons,Agree a lot,Agree a little,402.53232
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Disagree a little,At least once a week,Agree a little,Disagree a little,Some lessons,Disagree a little,Agree a lot,457.325072
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,At least once a week,Disagree a little,Agree a little,Some lessons,Agree a lot,Agree a lot,388.542986
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Disagree a lot,379.827864
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,430.1600219999999
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a little,Disagree a little,342.897242
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,392.513566
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a little,367.665704
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a little,381.04381
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Disagree a little,About half the lessons,Agree a little,Disagree a little,341.50908
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a little,506.652804
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,Some lessons,Disagree a lot,Disagree a lot,432.567044
Yes,None or very few (0–10 books),Agree a little,Disagree a little,At least once a week,Disagree a little,Agree a lot,Never,Disagree a little,Agree a lot,343.84150800000003
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,482.740148
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,283.59807800000004
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,428.8035739999999
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,395.1112480000001
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,449.254336
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,457.260864
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,373.70747
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,413.730002
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,500.932972
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,398.303438
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,380.317852
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,418.093834
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,501.577114
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,542.625412
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,536.118584
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,339.910404
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,458.836486
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,396.400318
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a little,Some lessons,Disagree a lot,Agree a little,330.963034
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,439.235374
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Some lessons,Agree a little,Agree a lot,352.010776
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,345.30293
No,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Disagree a little,Agree a little,Never,Agree a lot,Agree a lot,373.330756
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,404.461366
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,421.10131
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,416.050438
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,413.875758
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,419.29108800000006
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,391.604036
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,323.075808
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Agree a little,About half the lessons,Disagree a lot,Disagree a lot,362.758054
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,423.2211860000001
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,392.75495
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,443.520738
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,416.682524
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,391.236626
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,385.263072
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,Never,Disagree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,254.510316
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a little,384.615316
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,344.54847600000005
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,500.470014
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,297.828548
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,449.67472
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,492.111452
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,304.496872
No,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,429.693626
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,At least once a week,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,375.559206
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,306.019182
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,372.834988
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,371.652724
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,452.2094859999999
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,409.99506600000007
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,378.27973
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,424.39163
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,425.743484
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,379.195842
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,371.741724
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,428.725314
