BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
No,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a little,A few times a year,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,479.812664
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a lot,390.909422
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Disagree a lot,Agree a lot,About half the lessons,Disagree a little,Disagree a lot,383.204754
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,522.531064
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,362.069382
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,526.87971
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,503.435872
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a little,Never,Disagree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,354.34917399999995
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,469.287308
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,458.909632
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,396.561514
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,Never,Agree a little,Agree a lot,305.88684
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,416.949882
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a little,336.81680800000004
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,414.631342
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,539.781688
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,345.64982800000007
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,335.667258
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a little,About half the lessons,Agree a lot,Disagree a little,240.584388
