BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,459.21575600000006,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,495.599346,3
Yes,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a little,383.53939,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,372.9561,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,423.4599060000001,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,347.446504,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,426.270694,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Never,Agree a little,Agree a little,359.84314600000005,1
No,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Disagree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,266.37613,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,318.920578,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,332.58689000000004,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,318.512416,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,399.751794,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,462.603992,2
No,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,282.430188,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,410.5666,2
Yes,Enough to fill three or more bookcases (more than 200),Disagree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,537.068696,3
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,378.303908,1
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a little,427.85532,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a lot,479.526126,3
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,340.797374,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,395.97723,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Disagree a lot,Agree a little,400.665794,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,451.3312,2
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,421.918606,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,291.229544,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,343.805428,1
No,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,425.99268,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a little,310.01898000000006,1
No,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,424.12505,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,456.76385,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,409.57593800000006,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,427.341168,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,410.7131539999999,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,372.109232,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,395.257542,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,330.62651,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,383.25559,1
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a little,366.598814,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,395.977678,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,465.738782,2
No,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a little,Never,Agree a lot,Agree a little,Some lessons,Disagree a little,Disagree a little,375.44135399999993,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Disagree a little,Agree a lot,415.647772,2
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a lot,A few times a year,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,315.410992,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,Some lessons,Disagree a lot,Agree a lot,375.223626,1
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a little,At least once a week,Agree a little,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,446.747582,2
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Disagree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a lot,269.261114,1
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,At least once a week,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,348.10105,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a little,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,357.140348,1
No,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a lot,A few times a year,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,324.572758,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,304.05381,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Disagree a little,Some lessons,Agree a lot,Agree a lot,408.408838,2
No,None or very few (0–10 books),Agree a little,Disagree a lot,Never,Disagree a lot,Disagree a lot,Never,Disagree a lot,Agree a lot,301.0026,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,274.63330800000006,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,355.02654800000005,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Disagree a lot,About half the lessons,Agree a lot,Agree a lot,365.343002,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,472.735014,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,319.831334,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,361.0964540000001,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,407.794108,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Disagree a lot,Disagree a little,About half the lessons,Disagree a lot,Disagree a little,259.8107,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,320.10106,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,Never,Agree a little,Agree a lot,318.809928,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,393.237922,1
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,335.548654,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,287.815736,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,283.508818,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,290.134122,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,425.742424,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,325.912,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,314.15568,1
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,Never,Disagree a lot,Agree a little,295.464048,1
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,406.97071000000005,2
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Disagree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,467.691782,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,436.97100200000006,2
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,463.3193920000001,2
Yes,Enough to fill three or more bookcases (more than 200),Disagree a little,Disagree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,486.769448,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,438.982236,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,480.877002,3
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a lot,Disagree a lot,473.22551,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,403.320982,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,469.169754,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Disagree a lot,Disagree a lot,378.03464,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,503.2837820000001,3
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a little,420.216924,2
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,380.973624,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,348.139198,1
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Disagree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,421.840802,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Disagree a lot,Disagree a lot,About half the lessons,Disagree a lot,Disagree a little,407.474294,2
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,325.864384,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,409.819756,2
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a little,Never,Agree a little,Agree a lot,437.287256,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,396.047498,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,401.368354,2
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,510.060006,3
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,332.389214,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Disagree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,324.747892,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,Never,Disagree a little,Agree a little,417.11871,2
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,352.99889399999995,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,519.383538,3
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,628.041948,5
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,412.29643,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,463.664842,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,509.511628,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,441.407672,2
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,395.611588,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,318.99625,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,408.001648,2
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,410.362706,2
No,None or very few (0–10 books),Agree a little,Disagree a lot,Never,Disagree a little,Agree a little,Never,Agree a little,Disagree a lot,369.29517,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,370.87135,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,384.079626,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Disagree a little,About half the lessons,Disagree a little,Agree a little,424.76143600000006,2
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,329.420214,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,402.459858,2
No,None or very few (0–10 books),Agree a little,Disagree a lot,Never,Disagree a little,Agree a little,Never,Agree a little,Agree a lot,378.219354,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,356.87269000000003,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,491.483104,3
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a little,310.6133,1
No,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,317.15932999999995,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,513.4442280000001,3
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a little,Some lessons,Agree a little,Agree a lot,390.00299,1
No,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,310.727506,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,447.542864,2
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a little,326.47659600000003,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,593.160408,4
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,370.318188,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,396.719682,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,351.233048,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,306.54136,1
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,355.89244,1
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a little,281.119944,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,451.646646,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,388.2023439999999,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,352.747934,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,385.252542,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Disagree a lot,About half the lessons,Disagree a lot,Agree a lot,344.540738,1
No,None or very few (0–10 books),Disagree a little,Agree a little,Once or twice a month,Agree a little,Agree a little,Some lessons,Agree a little,Agree a little,357.66599800000006,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,251.424356,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,290.62467200000003,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Disagree a lot,320.2317939999999,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,235.78324000000003,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Every or almost every lesson,Disagree a little,Agree a little,292.259698,1
No,None or very few (0–10 books),Agree a lot,Disagree a little,A few times a year,Disagree a little,Disagree a little,Every or almost every lesson,Agree a lot,Disagree a lot,348.886648,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,292.235092,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,306.477936,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,252.430652,1
No,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,299.91600800000003,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,259.479394,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,277.256186,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,339.57052,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Never,Agree a lot,Agree a little,237.61924,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,374.638724,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a little,277.969226,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,301.446814,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,336.24285999999995,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,317.551302,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,357.71598,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,327.23187800000005,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,208.272494,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,267.16576,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,280.25058800000005,1
No,None or very few (0–10 books),Agree a lot,Disagree a lot,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Disagree a little,239.786122,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Disagree a little,Disagree a little,Every or almost every lesson,Disagree a lot,Disagree a lot,315.95958400000006,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,346.72166400000003,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a little,303.79345,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,307.276796,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,Every or almost every lesson,Disagree a little,Disagree a little,247.27450600000003,1
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,351.399508,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Disagree a little,Some lessons,Disagree a little,Agree a little,335.377438,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,337.94097200000004,1
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,294.27526400000005,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a little,270.166894,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a little,330.229326,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,380.738346,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,378.049116,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,362.900066,1
