BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,335.667258,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a little,About half the lessons,Agree a lot,Disagree a little,240.584388,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,330.102488,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,500.949852,3
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a little,395.64654600000006,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,393.594982,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Disagree a little,Disagree a little,325.705198,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,377.805012,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,352.479244,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a lot,341.485804,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,Never,Agree a lot,Agree a little,312.91348,1
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,At least once a week,Disagree a lot,Agree a lot,Never,Disagree a lot,Disagree a lot,328.973428,1
No,None or very few (0–10 books),Agree a lot,Disagree a little,Once or twice a month,Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,386.360432,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,421.8033180000001,2
Yes,None or very few (0–10 books),Disagree a lot,Disagree a little,A few times a year,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,356.24032,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,487.305934,3
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,403.502092,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,431.091368,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Disagree a little,Agree a lot,About half the lessons,Disagree a little,Agree a little,309.999908,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,355.31362400000006,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Disagree a little,336.58548,1
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,402.23357,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,445.583456,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a lot,450.0089200000001,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,390.67066,1
